chemsys,n_elements,n_entries,status,n_prompts
Co-Ge,2,37,ok,1
Co-Ge-Mg,3,73,ok,1
Co-Ge-Mo-Os,4,78,ok,1
Co-Ge-Ni-Te,4,107,ok,1
Co-Hf-Hg,3,50,ok,1
Co-Hf-Si,3,86,ok,1
Co-Hf-Sn-Ta,4,85,ok,1
Co-Hg-Ru-Zn,4,63,ok,1
Co-Hg-Sb,3,53,ok,1
Co-Ir-Mo,3,40,ok,1
Co-Ir-Pt-Ti,4,64,ok,1
Co-O,2,90,ok,1
Co-O-P-Si,4,650,ok,1
Co-Rh-Sn,3,45,ok,1
Co-Rh-V,3,34,ok,1
Co-S,2,51,ok,1
Co-Se-W,3,48,ok,1
Co-Zr,2,23,ok,1
Cr-Cu-Ni,3,40,ok,1
Cr-Dy-In,3,26,ok,1
Cr-Er-Mo,3,22,ok,1
Cr-Eu,2,15,ok,1
Cr-Fe-Ru,3,30,ok,1
Cr-Fe-W,3,38,ok,1
Cr-Ga-Mg,3,125,ok,1
Cr-Ga-Ni,3,50,ok,1
Cr-Ge-In,3,42,ok,1
Cr-Ge-Nb-Re,4,77,ok,1
Cr-Ge-Ni-Ru,4,73,ok,1
Cr-Ge-P,3,54,ok,1
Cr-H-Li-Os,4,51,ok,1
Cr-In-K-Pd,4,67,ok,1
Cr-In-Zr,3,32,ok,1
Cr-Ir,2,15,ok,1
Cr-Ir-Ru,3,25,ok,1
Cr-Ir-Sn,3,32,ok,1
Cr-K-Tc,3,37,ok,1
Cr-Li-Mn,3,27,ok,1
Cr-Li-Sc,3,30,ok,1
Cr-Mg-Zn,3,118,ok,1
Cr-Mn-Sb,3,49,ok,1
Cr-Nb-Sc-Sr,4,53,ok,1
Cr-Ni-Sn,3,46,ok,1
Cr-Ni-W,3,35,ok,1
Cr-Os-V-W,4,42,ok,1
Cr-Os-Zn,3,26,ok,1
Cr-Re-V-Zn,4,36,ok,1
Cr-Ru-Si,3,74,ok,1
Cr-Se-Si,3,86,ok,1
Cr-Si-U,3,81,ok,1
Cs-Cu-I-Ti,4,84,ok,1
Cs-Er-Sc-Te,4,68,ok,1
Cs-F-Mg,3,45,ok,1
Cs-F-Ni,3,46,ok,1
Cs-Na-Pb,3,44,ok,1
Cu-Dy-Ge-Mn,4,96,ok,1
Cu-Fe-Ga-Hf,4,83,ok,1
Cu-Fe-Re-Ta,4,54,ok,1
Cu-Ga-K,3,53,ok,1
Cu-Ga-Pt,3,50,ok,1
Cu-H-O,3,113,ok,1
Cu-Hf-Mg,3,66,ok,1
Cu-Hg-Na,3,64,ok,1
Cu-Hg-Se,3,75,ok,1
Cu-I,2,29,ok,1
Cu-In-Zr,3,56,ok,1
Cu-Ir-Tc,3,18,ok,1
Cu-Ir-Ti,3,41,ok,1
Cu-K-Na,3,51,ok,1
Cu-La-O-Ru-Sr,5,248,ok,1
Cu-Mn-Re,3,23,ok,1
Cu-Nb,2,14,ok,1
Cu-Ni-Si,3,78,ok,1
Cu-Pb,2,17,ok,1
Cu-Pd-Sb,3,54,ok,1
Cu-Pd-Ti,3,57,ok,1
Cu-Pt-Rh,3,28,ok,1
Cu-Ru-Si-Tc,4,84,ok,1
Cu-Ru-V,3,23,ok,1
Cu-Sb-Sr,3,52,ok,1
Cu-Sc-Ti,3,45,ok,1
Cu-Si-Tb-Zr,4,120,ok,1
Dy-Ga-Pb,3,39,ok,1
Dy-Ge-Ni,3,68,ok,1
Dy-Ho-In-Pd,4,74,ok,1
Dy-Pb-Re,3,23,ok,1
Dy-Sc-Tm,3,24,ok,1
Dy-Sr-V,3,22,ok,1
Er-Fe-Gd-Ni,4,77,ok,1
Er-Ga-Sm,3,41,ok,1
Er-Ge-Hf,3,44,ok,1
Er-Ho-Sr,3,28,ok,1
Er-Ir,2,17,ok,1
Er-N-O-Tc,4,97,ok,1
Er-Rh-Si,3,89,ok,1
Er-Ru-Zn,3,34,ok,1
Eu-Mo-Sr,3,36,ok,1
Eu-Na,2,22,ok,1
Eu-Nb-O,3,91,ok,1
Eu-Nb-Tc,3,21,ok,1
Eu-Sc,2,17,ok,1
F-Hg-Se,3,52,ok,1
F-Mg-Zn,3,113,ok,1
F-Si-Sr,3,81,ok,1
Fe-Ga-N,3,116,ok,1
Fe-Ga-Ni,3,69,ok,1
Fe-Ga-Pb,3,41,ok,1
Fe-Ga-Si,3,89,ok,1
Fe-Ge-Mn,3,77,ok,1
Fe-Hf-Hg-Pt,4,72,ok,1
Fe-Hg-Mo,3,49,ok,1
Fe-Hg-Zr,3,51,ok,1
Fe-Ir,2,18,ok,1
Fe-La-Pa,3,19,ok,1
Fe-Li-Se,3,51,ok,1
Fe-Mg-Ru,3,32,ok,1
Fe-Mn-O,3,297,ok,1
Fe-Os-Zn,3,33,ok,1
Fe-Pb,2,17,ok,1
Fe-Pb-Si,3,74,ok,1
Fe-Pt-Ti,3,47,ok,1
Fe-Pt-Y,3,44,ok,1
Fe-Re-Ti,3,41,ok,1
Fe-Se,2,39,ok,1
Fe-Se-Y,3,60,ok,1
