sg_sites,n_materials
P6_3mc | 2a 2b 2b 6c 6c 6c,16
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,16
P2_12_12_1 | 4a 4a 4a 4a 4a 4a 4a 4a 4a,16
Pbcm | 4c 4c 4c 4d 4d 4d 8e 8e,16
C2/m | 4i 4i 4i 4i 4i 4i,16
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,16
R-3 | 6c 6c 18f,16
Fmmm | 8i,16
P2_1/m | 2e 2e 2e 2e 2e 4f,16
R3 | 3a 9b 9b,16
P-1 | 1a 1c 2i 2i,16
R3 | 3a 3a 9b 9b,16
C2/m | 2a 2d 4i 4i 4i 4i 4i 4i,15
Immm | 2a 4h 4i 4j 8l,15
F-43m | 16e 16e 16e 24f 24g,15
I4/mmm | 2a 2b 4d 4e,15
C2/m | 2a 4i 4i 4i 4i 4i 4i 4i 4i 4i,15
C2/c | 4a 4e 8f 8f 8f 8f 8f 8f 8f 8f 8f,15
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,15
Ima2 | 4a 4b 4b 8c 8c 8c 8c 8c,15
P-43m | 1a 3d 4e,15
I4/mmm | 4e 8h 8h 8i 8i 8j 16k,15
I4/mmm | 2a 2b 4e 4e 4e 8g,15
Fddd | 8a 16f 16g,15
P4_2/n | 2a 8g 8g,15
R-3 | 3a 3b 6c 18f,15
Pmc2_1 | 2a 2a 2b 2b,15
P6/mmm | 1a 2d 6k,15
Cm | 2a 2a 2a 2a 2a 2a 2a 2a 4b 4b 4b 4b,15
Cmcm | 4c 8e 8f,15
Fmmm | 4a 8f 8i,15
R3m | 3a 3a 3a 3a 3a 3a 3a 3a,15
C2/c | 4e 4e 4e,15
Cmmm | 2a 2b 4h,15
Fmmm | 4a 8i 8i 8i,15
F-43m | 4a 4b 4c 16e 24g,15
Imma | 4e 4e 4e 4e,15
Imm2 | 2a 2a 2a 2a 2a 2b 2b 2b 2b 2b,15
Cm | 2a 2a 2a 2a 2a 2a 4b 4b,15
R3m | 3a 3a 3a 3a 3a 3a 3a 3a 3a 3a,15
Im-3m | 2a 8c 12d 12e,15
P6/mmm | 1a 1b 2c 2d 6i,14
Cm | 2a 2a 2a 4b,14
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,14
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,14
P-1 | 1a 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,14
Im-3 | 2a 6b 8c 24g,14
Fd-3m | 8a 16c 16d 48f,14
R3c | 6a 6a 18b,14
Cm | 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 4b 4b 4b 4b 4b 4b 4b 4b 4b 4b 4b 4b 4b 4b,14
I4/mmm | 4e 4e,14
C2/c | 4e 8f 8f 8f,14
P4/mbm | 2a 4g 4h 4h 8i 8i 8j,14
P4/mbm | 2a 2c 4g 8j 8k,14
Pm | 1a 1a 1a 1b 1b 1b,14
P4mm | 1a 1a 1a 1b 1b 1b,14
